# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
73           	((1.234185e-03 -4.308856e-03 8.393745e-22) (3.378163e-05 2.918025e-06 4.753217e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.778104e-23 4.039032e-22 7.209751e-04) (-9.985501e-25 1.203081e-23 -5.267338e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
74           	((1.234773e-03 -4.213158e-03 8.351988e-22) (3.377488e-05 2.929140e-06 4.708962e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.771193e-23 4.030282e-22 6.866259e-04) (-9.898018e-25 1.193223e-23 -5.295280e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
75           	((1.234611e-03 -4.118704e-03 8.297712e-22) (3.374856e-05 2.946274e-06 4.756617e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.761262e-23 4.018005e-22 6.531779e-04) (-9.991583e-25 1.203941e-23 -5.360024e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
76           	((1.235020e-03 -4.018765e-03 8.226980e-22) (3.371146e-05 2.954720e-06 4.717183e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.747165e-23 4.000902e-22 6.178332e-04) (-9.910430e-25 1.194722e-23 -5.388587e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
77           	((1.236269e-03 -3.910081e-03 8.137291e-22) (3.364626e-05 2.977334e-06 4.737009e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.728178e-23 3.978155e-22 5.792036e-04) (-9.947026e-25 1.197824e-23 -5.499563e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
78           	((1.238625e-03 -3.792962e-03 8.028667e-22) (3.356867e-05 2.993404e-06 4.707518e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.704278e-23 3.949743e-22 5.374171e-04) (-9.888522e-25 1.191727e-23 -5.585611e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
79           	((1.241580e-03 -3.670385e-03 7.900733e-22) (3.345265e-05 3.009029e-06 4.712084e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.675436e-23 3.915618e-22 4.936768e-04) (-9.886836e-25 1.190677e-23 -5.683153e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
80           	((1.244647e-03 -3.545502e-03 7.750195e-22) (3.332125e-05 3.026716e-06 4.692371e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.640969e-23 3.874958e-22 4.492961e-04) (-9.850900e-25 1.185588e-23 -5.800905e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
81           	((1.247447e-03 -3.424359e-03 7.581255e-22) (3.318165e-05 3.024872e-06 4.700994e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.602076e-23 3.829124e-22 4.066701e-04) (-9.860784e-25 1.188287e-23 -5.828523e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
82           	((1.249168e-03 -3.310096e-03 7.394013e-22) (3.301266e-05 3.024603e-06 4.676370e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.558713e-23 3.778081e-22 3.670756e-04) (-9.810127e-25 1.180699e-23 -5.876865e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
83           	((1.250202e-03 -3.198394e-03 7.178297e-22) (3.284058e-05 3.020741e-06 4.670565e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.508273e-23 3.718814e-22 3.288681e-04) (-9.790900e-25 1.177970e-23 -5.913890e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
